Date : 2025-10-20 13:27:40
Directory : /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src
Total : 154 files,  7570 codes, 346 comments, 825 blanks, all 8741 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Svelte     |        104 |      4,872 |        161 |        560 |      5,593 |
| TypeScript |         45 |      2,482 |        180 |        249 |      2,911 |
| PostCSS    |          2 |        203 |          5 |         15 |        223 |
| HTML       |          1 |         11 |          0 |          1 |         12 |
| XML        |          2 |          2 |          0 |          0 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |        154 |      7,570 |        346 |        825 |      8,741 |
| . (Files)                                                                                                                          |          3 |         26 |         10 |          6 |         42 |
| lib                                                                                                                                |        118 |      3,922 |        212 |        506 |      4,640 |
| lib (Files)                                                                                                                        |          1 |         35 |          1 |         10 |         46 |
| lib/assets                                                                                                                         |          2 |          2 |          0 |          0 |          2 |
| lib/auth                                                                                                                           |          2 |         79 |         24 |          7 |        110 |
| lib/components                                                                                                                     |        106 |      3,604 |        177 |        456 |      4,237 |
| lib/components/atoms                                                                                                               |          2 |        147 |          0 |         16 |        163 |
| lib/components/molecules                                                                                                           |          6 |        444 |          9 |         58 |        511 |
| lib/components/organism                                                                                                            |         11 |      1,188 |         40 |        111 |      1,339 |
| lib/components/organism (Files)                                                                                                    |          3 |        231 |          7 |         27 |        265 |
| lib/components/organism/Forms                                                                                                      |          2 |        363 |         27 |         29 |        419 |
| lib/components/organism/Tables                                                                                                     |          6 |        594 |          6 |         55 |        655 |
| lib/components/ui                                                                                                                  |         87 |      1,825 |        128 |        271 |      2,224 |
| lib/components/ui (Files)                                                                                                          |          1 |         12 |          0 |          3 |         15 |
| lib/components/ui/alert-dialog                                                                                                     |         10 |        182 |          1 |         30 |        213 |
| lib/components/ui/button                                                                                                           |          2 |         90 |          1 |          8 |         99 |
| lib/components/ui/card                                                                                                             |          8 |        150 |          1 |         23 |        174 |
| lib/components/ui/checkbox                                                                                                         |          2 |         39 |          1 |          4 |         44 |
| lib/components/ui/command                                                                                                          |         11 |        247 |          1 |         34 |        282 |
| lib/components/ui/data-table                                                                                                       |          4 |        154 |        115 |         26 |        295 |
| lib/components/ui/dialog                                                                                                           |          9 |        168 |          1 |         28 |        197 |
| lib/components/ui/dropdown-menu                                                                                                    |         14 |        310 |          0 |         41 |        351 |
| lib/components/ui/hover-card                                                                                                       |          3 |         44 |          0 |          9 |         53 |
| lib/components/ui/input                                                                                                            |          2 |         52 |          1 |          7 |         60 |
| lib/components/ui/label                                                                                                            |          2 |         23 |          1 |          5 |         29 |
| lib/components/ui/popover                                                                                                          |          3 |         57 |          1 |          8 |         66 |
| lib/components/ui/separator                                                                                                        |          2 |         23 |          1 |          5 |         29 |
| lib/components/ui/table                                                                                                            |          9 |        181 |          1 |         26 |        208 |
| lib/components/ui/textarea                                                                                                         |          2 |         25 |          1 |          5 |         31 |
| lib/components/ui/tooltip                                                                                                          |          3 |         68 |          1 |          9 |         78 |
| lib/server                                                                                                                         |          1 |          9 |          4 |          5 |         18 |
| lib/stores                                                                                                                         |          1 |         30 |          0 |          4 |         34 |
| lib/utils                                                                                                                          |          5 |        163 |          6 |         24 |        193 |
| lib/utils (Files)                                                                                                                  |          2 |         70 |          6 |          8 |         84 |
| lib/utils/types                                                                                                                    |          1 |         40 |          0 |          8 |         48 |
| lib/utils/zod                                                                                                                      |          2 |         53 |          0 |          8 |         61 |
| routes                                                                                                                             |         31 |      3,419 |        119 |        298 |      3,836 |
| routes (Files)                                                                                                                     |          3 |        215 |         10 |         25 |        250 |
| routes/(Admin)                                                                                                                     |         17 |      2,151 |         54 |        178 |      2,383 |
| routes/(Admin)/admin                                                                                                               |         17 |      2,151 |         54 |        178 |      2,383 |
| routes/(Admin)/admin (Files)                                                                                                       |          3 |        166 |          4 |         19 |        189 |
| routes/(Admin)/admin/newhall                                                                                                       |          2 |        244 |          8 |         22 |        274 |
| routes/(Admin)/admin/newpart                                                                                                       |          2 |        344 |          8 |         25 |        377 |
| routes/(Admin)/admin/newprocess                                                                                                    |          2 |        314 |         10 |         25 |        349 |
| routes/(Admin)/admin/newproject                                                                                                    |          2 |        311 |         10 |         23 |        344 |
| routes/(Admin)/admin/newscrapcode                                                                                                  |          2 |        349 |         10 |         29 |        388 |
| routes/(Admin)/admin/operatorregister                                                                                              |          2 |        243 |          4 |         18 |        265 |
| routes/(Admin)/admin/users                                                                                                         |          2 |        180 |          0 |         17 |        197 |
| routes/(Client)                                                                                                                    |          9 |        919 |         52 |         83 |      1,054 |
| routes/(Client) (Files)                                                                                                            |          1 |         17 |          3 |          3 |         23 |
| routes/(Client)/createScrap                                                                                                        |          2 |        316 |          7 |         26 |        349 |
| routes/(Client)/login                                                                                                              |          1 |        135 |         30 |         12 |        177 |
| routes/(Client)/register                                                                                                           |          1 |        159 |          3 |          8 |        170 |
| routes/(Client)/report                                                                                                             |          1 |          1 |          0 |          1 |          2 |
| routes/(Client)/search                                                                                                             |          2 |        248 |          9 |         28 |        285 |
| routes/(Client)/user                                                                                                               |          1 |         43 |          0 |          5 |         48 |
| routes/(Client)/user/profile                                                                                                       |          1 |         43 |          0 |          5 |         48 |
| routes/api                                                                                                                         |          2 |        134 |          3 |         12 |        149 |
| routes/api/export                                                                                                                  |          1 |         93 |          3 |          8 |        104 |
| routes/api/export/scrap                                                                                                            |          1 |         93 |          3 |          8 |        104 |
| routes/api/operators                                                                                                               |          1 |         41 |          0 |          4 |         45 |
| styles                                                                                                                             |          2 |        203 |          5 |         15 |        223 |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                           | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/app.d.ts                                                           | TypeScript |          5 |          7 |          2 |         14 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/app.html                                                           | HTML       |         11 |          0 |          1 |         12 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/hooks.server.ts                                                    | TypeScript |         10 |          3 |          3 |         16 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/assets/background.svg                                          | XML        |          1 |          0 |          0 |          1 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/assets/mainPage.svg                                            | XML        |          1 |          0 |          0 |          1 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/auth/auth-client.ts                                            | TypeScript |          8 |          1 |          2 |         11 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/auth/auth.ts                                                   | TypeScript |         71 |         23 |          5 |         99 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/atoms/Combobox.svelte                               | Svelte     |        139 |          0 |         13 |        152 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/atoms/ToNavigateBtn.svelte                          | Svelte     |          8 |          0 |          3 |         11 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/DeleteBtn.svelte                          | Svelte     |         61 |          3 |          9 |         73 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/LandingStatistic.svelte                   | Svelte     |         64 |          3 |          7 |         74 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/MobileMenu.svelte                         | Svelte     |         41 |          1 |          7 |         49 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/OperatorLogin.svelte                      | Svelte     |        134 |          1 |         15 |        150 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/Pagination.svelte                         | Svelte     |         86 |          1 |         12 |         99 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/ResultInfo.svelte                         | Svelte     |         58 |          0 |          8 |         66 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Filter.svelte                              | Svelte     |        124 |          1 |         10 |        135 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Forms/CreateScrapForm.svelte               | Svelte     |        203 |         15 |         13 |        231 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Forms/EditSearchScrapForm.svelte           | Svelte     |        160 |         12 |         16 |        188 |
